Year,Duration,Rating,Votes,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_Unknown,Genre_War,Genre_Western,Director_Avg_Rating,Actor 1_Avg_Rating,Actor 2_Avg_Rating,Actor 3_Avg_Rating,Num_Genres,Decade_1940s,Decade_1950s,Decade_1960s,Decade_1970s,Decade_1980s,Decade_1990s,Decade_2000s,Decade_2010s
2012,114.0,3.3,165.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.233333333333333,4.74,3.75,3.3,2,False,False,False,False,False,False,False,True
2003,115.0,7.8,35.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.991666666666667,6.025531914893617,4.9972972972972975,5.523529411764706,2,False,False,False,False,False,False,True,False
2019,122.0,6.9,35.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.966666666666666,6.9,6.9,5.95,1,False,False,False,False,False,False,False,True
2009,170.0,8.4,35.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.059999999999999,6.861764705882353,6.257142857142857,8.4,2,False,False,False,False,False,False,True,False
2009,132.29447957614084,5.2,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.2,5.2,5.376923076923077,5.2,2,False,False,False,False,False,False,True,False
2018,100.0,6.9,358.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9,6.9,5.95,1,False,False,False,False,False,False,False,True
2015,99.0,4.3,6.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,5.366666666666667,4.3,4.3,2,False,False,False,False,False,False,False,True
2004,132.29447957614084,5.0,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.9,4.55,5.027272727272727,4.618181818181818,1,False,False,False,False,False,False,True,False
2016,132.29447957614084,4.8,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.8,4.683333333333333,5.376923076923077,4.8,1,False,False,False,False,False,False,False,True
2015,109.0,5.8,238.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.85,5.8,6.55,3,False,False,False,False,False,False,False,True
2009,132.29447957614084,4.6,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6,5.449999999999999,4.6,4.175,1,False,False,False,False,False,False,True,False
2006,140.0,5.7,35.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.777777777777778,5.777777777777778,6.066666666666666,5.7375,3,False,False,False,False,False,False,True,False
1981,122.0,7.5,392.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.816666666666666,7.5,7.5,6.433333333333334,2,False,False,False,False,True,False,False,False
1974,132.29447957614084,6.7,128.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,5.725925925925925,6.397674418604652,6.5,3,False,False,False,True,False,False,False,False
2020,128.0,5.7,252.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,5.7,5.7,5.7,2,False,False,False,False,False,False,False,True
2019,93.0,5.6,93.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.366666666666667,5.807142857142857,6.55,6.416666666666667,1,False,False,False,False,False,False,False,True
1985,102.0,5.6,80.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.436,5.714285714285714,5.449999999999999,6.133333333333333,1,False,False,False,False,True,False,False,False
2013,125.0,3.6,35.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4.15,4.15,4.533333333333333,5.55,3,False,False,False,False,False,False,False,True
2019,145.0,6.3,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3,6.3,5.15,6.3,1,False,False,False,False,False,False,False,True
2011,121.0,7.3,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.383333333333333,7.3,7.3,6.85,3,False,False,False,False,False,False,False,True
2016,75.0,4.8,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,4.8,4.8,4.8,1,False,False,False,False,False,False,False,True
2009,132.29447957614084,3.9,14.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9,4.6,3.9,5.4,2,False,False,False,False,False,False,True,False
